Monat,Brand,Influencer,Zuständigkeit,Channel,Content,Status,Story_Public_Date,Reminder_oder__Teaser?,Wann?,Preis,Est._Views,CPM,Link_Klicks,Real_Views,Umsatz,ROAS,Beworbenes__Produkt
April,TerraCanis,mrs.tews,SB,ig,story inkl. rem.,done,2025-04-14,reminder,2025-04-18,1.15,30000.0,38.0,,,,,
April,Zahnheld,mellisblog,SB,ig,story inkl. rem.,done,2025-04-15,reminder,2025-04-17,1.1,28000.0,39.0,,,,,
April,TerraCanis,_moon_emma_,SB,ig,story inkl. rem.,done,2025-04-16,reminder,2025-04-19,300.0,15.0,20.0,,,,,
April,TerraCanis,thara.vive,SB,ig,story inkl. rem.,done,2025-04-16,reminder,2024-04-19,400.0,12.0,33.0,,,,,
April,Bauhaus,tina_mom_91,LS,ig,story,done,2024-04-17,nichts,,250.0,12.0,21.0,,,,,
April,305 Care,karolina.deiss ,SB,ig,story inkl. rem.,done,2025-04-17,reminder,2025-04-19,1.7,50.0,34.0,,,,,
April,Vonmählen,vikistr,LS,ig,story inkl. rem.,posted,2025-04-17,reminder,2025-04-21,500.0,9.0,56.0,,,,,
April,305 Care,rosarotundhimmlischblau,SB,ig,story inkl. rem.,done,2025-04-18,reminder,2025-04-23,650.0,20.0,33.0,,,,,
April,Bauhaus,_nativita_,LS,ig,story inkl. rem.,done,2025-04-17,reminder,2025-04-19,1.1,30.0,37.0,,,,,
April,TerraCanis,eva.besserer,SB,ig,story inkl. rem.,done,2024-04-19,reminder,2024-04-24,400.0,13.0,31.0,,,,,
April,TerraCanis,hannahsitte,SB,ig,story inkl. rem.,done,2025-04-22,reminder,2025-04-25,350.0,12.0,29.0,,,,,
April,IOS,benkauer,JT,ig,story,done,2025-04-22,reminder,2025-04-28,3.0,72.0,42.0,,,,,
April,TerraCanis,2.be.good.dads,SB,ig,story inkl. rem.,done,2025-04-23,reminder,2025-04-28,1.35,40.0,34.0,,,,,
April,Bauhaus,tina_mom_91,LS,ig,story,posted,2025-04-24,nichts,,250.0,12.0,21.0,,,,,
April,Bauhaus,buildmyhomebytm,LS,ig,story inkl. rem.,posted,2025-04-24,reminder,2025-04-27,600.0,20.0,30.0,,,,,
April,Bauhaus,eigenheimliebe,LS,ig,story inkl. rem.,posted,2025-04-24,reminder,,1.45,,,,,,,
April,Zahnheld,10imGlück,SB,ig,story inkl. rem.,done,2025-04-24,reminder,2025-04-26,3.0,95.0,32.0,,,,,
April,Zahnheld,_moon_emma_,SB,ig,story inkl. rem.,done,2025-04-25,reminder,2025-04-28,400.0,15.0,27.0,,,,,
April,305 Care,sandraundbetty,SB,ig,story inkl. rem.,done,2025-04-26,reminder,2025-04-29,630.0,15.0,42.0,,,,,
April,Zahnheld,nikisbeautychannel,LS,ig,story inkl. rem.,done,2025-04-26,reminder,2025-04-29,350.0,11.0,32.0,,,,,
April,Zahnheld,paulina_sophiee,JT,ig,story inkl. rem.,done,2025-04-28,reminder,2025-04-30,550.0,10.0,,,,,,
April,Zahnheld,sarahklefisch ,SB,ig,story inkl. rem.,posted,2025-04-28,reminder,2025-05-02,1.8,40.0,45.0,,,,,
